text,label,five_folds,ten_folds,train_test_split
"Frau GE, ohne Ausbildung und rechtschaffende Arbeit an den Töpfen und Trögen der Macht angekommen, redet wirres Zeug ohne jegliche Grundlage. Aber die meisten fahren witzigerweise darauf ab und wählen grün. Wie verzweifelt, bzw. Wie satt muss ich mir den grünen Wähler vorstellen?Wir verblöden im Kollektiv. Der Schwarm muss dumm sein. Die Grünen sind die Quittung für unsere Dekadenz undceine Persiflage unserer Gesellschaft. Schönes Wochenende!",1.0,0,0,0
"So ist das neue linke Deutschland. Strom kommt aus der Steckdose oder einfach aus den Stromleitungen und muss nicht durch Kraftwerke erzeugt werden, Geld fällt vom Himmel und muss gar nicht sauer erarbeitet oder durch kluge Investitionen erwirtschaftet werden und wenn es zu wenig wunschgemäße Wohnungen gibt, dann müssen die Eigentümer halt enteignet werden. Ich freu mich immer über dieser klugen Ratschläge der heutigen Führungskräfte in Deutschland.",0.0,0,0,0
Das ist Kellermann wie er leibt und lebt. Ein Stuss wie er nur aus seiner Feder fließen kann. Die Kündigung meines 35jährigen RP-Abos ist nicht zuletzt seines Geschreibsels geschuldet. ,1.0,0,0,0
So sieht also linker Protest aus? Danke ! Das bestätigt meine eh schon schlechte Meinung über diese Leute im Hambacher Forst!,0.0,0,0,0
"Kardinal Woelki lebt in ""Wolkenkuckucksheim"".Ich finde sein Verhalten unsäglich.Was ich auch nicht verstehe ist,das er in der RP des Öfteren einen Kommentar schreiben darf, der meist nur Geschwafel ist.",1.0,0,0,0
"""geschmacklos"", ""billig"" und ""peinlich"" ?  Oh Mann...sowas kann nur von ULTRA-Konservativen kommen... ( Roll-mit-den-Augen ).  Das man sowas überhaupt großartig kommentieren muss...was war an dieser Aktion jetzt so schlimm ? Unglaublich, so manche Kommentare. ",0.0,0,0,0
" Der ehemalige, GOTT sei dank, deutsche Fußball-Nationalspieler Mesut Özil ",1.0,0,0,0
"Liebe RP, ich muss mich doch über ihre Formulierung wundern: ""Dem Düsseldorfer Flughafen drohen mittelfristig höhere Zuschläge für verspätete Landungen nach 23 Uhr""  Dem Flughafen droht gar nichts, außer gegebenenfalls noch mehr Erlöse, denn die Zuschläge für verspätete Landungen kommen dem Flughafen direkt zugute. Der Flughafen verdient daran.",0.0,0,0,0
"""Kindergartenreifer"" Spruch, die wollen erwachsen sein?! Vielleicht, wenn es ums V------- geht. Sie haben fast alle schöne, lange, blonde Haare, so kann man verdecken, dass darunter nur die leere Calotte ist.",1.0,0,0,0
"Woher wissen Sie, dass es am Flugzeug an sich lag? Haben Sie schon mehr Wissen als die Ermittler?",0.0,0,0,0
