text,label,five_folds,ten_folds,train_test_split
"Wieder so eine halbamtliche Empfehlungsmasche, statt mal etwas wirklich Handfestes verbindlich zu machen - nur knallharte Strafen bringen die Schweine, die ihren Müll nicht bis zum nächsten Mülleiner oder mit nach Hause nehmen wollen, zur Raison. Nicht ""empfehlen"" sondern verordnen, kontrollieren, bestrafen. Schaut mal, wie sauber Singapur ist!",1.0,0,0,0
"Dann möge man dieses Dokument vielleicht mal lesen, (43 Seiten und das geschwurbelste Englisch, was mir je untergekommen ist) und dann den Kritikern erklären, wie in einer nicht bindenden Erklärung derart oft die Wörter ""verpflichten"", ""verpflichtet"" und ""Pflicht"" vorkommen können.",0.0,0,0,0
Ich glaub es hackt!,1.0,0,0,0
Aus diesem Grunde ist die Forderung der AfD nach einer Veränderung der EU oder sogar einem Dexit zutreffend.,0.0,0,0,0
"Na was schon? ""Mama Merkel, hol uns zurück""!",1.0,0,0,0
"Ich bin kein Militarist, aber müsste jemand für so ein Ministeramt nicht Fachkenntnisse haben? Also in diesem Fall etwa ein Ex-General oder wenigstens jemand, der mal in der Bundeswehr Dienst tat? So wie das bei Tankstellen, Bäckereien und in sonst jedem Betrieb bei der Besetzung von Führungspositionen so Sitte ist ... Ist das alles völlig egal?",0.0,0,0,0
"Der Selbstkritik von Calle ist nichts hinzuzufügen … spiel einfach und schieße, schieße, schieße!   Nirgendwo steht geschrieben, das die Scheibe ins Tor getanzt werden muss!  ",1.0,0,0,0
Man merkt der Europwahlkampf ist auf dem Höhepunkt.,0.0,0,0,0
"Das heißt doch wohl, dass der Täter in jedem einzelnen ausländisch-Aussehenden einen Bombenleger sieht. Nimmt sich nicht etwa tatsächliche Straftäter oder Salafisten vor, sondern nur welche, von denen er lediglich meint, sie sähen ähnlich aus! Das ist nichts anderes als tiefst-rassistischer Terrorismus!",1.0,0,0,0
"Unglaublich, welche Ignoranz sich hier in vielen Kommentaren zeigt. Und das von Leuten, die freitags nicht den Unterricht geschwänzt haben, also eigentlich etwas und auch Denken gelernt haben sollten. Wer den Unterschied zwischen Messung, Simulation und Prognose nicht weiß, der sollte sich besser zu diesem Thema gar nicht äußern, sondern sich erst schlau machen. ",0.0,0,0,0
"Was mich vielmehr erschüttert, dass es diesen ganzen Wöhltätern ziemlich egal zu sein scheint, wenn sich hier überall „Zugereiste“ (ja so ist es) Obdachlose finden, die dann Parks vermüllen, in Ecken pissen und Parks scheissen!! Schlimm genug dass hier überhaupt Leute so leben müssen, aber dass muss man hier nicht dulden!  Deutschland ist ein Hot Spot für Armutsflüchtlinge geworden! Dazu brauche ich nur mit offenen Augen durch diese Stadt zu fahren..",1.0,0,0,0
Die grube wird immer tiefer die sich die SPD durch fähige politiker gräbt ! six fett under !! ,0.0,0,0,0
"kLank ..... kLänker.....klangehabe Isch Türk... isch Lybi.... isch Clan.... Was waren das für Zeiten als sie noch Muffensausen hatten und vor lauter ""Schiss in ne Bux"" sagten : ""Äh Du, wenn Du Hand hebst hol isch meine Blüder....""",1.0,0,0,0
Am  Besten  gar Nichts !!!! - ,0.0,0,0,0
"Ich lach mich schlapp! Das Oberzentrum auf dem Weg zur Weltmetropole? Der Zustand des Stadtwaldes ist symptomatisch für dieses urbane Drecksloch - und ich prophezeie, dass es noch schlimmer werden wird. Marxloh lässt grüßen. ",1.0,0,0,0
"Wird langsam unerträglich, die Zeitgeistkirche. Aus den Gegnern des Ablasshandels wurden die schlimmsten Ablasshändler. Freunde, wenn ich in den Tempel gehe erwarte ich Mystik, kein Genderklo oder irgendwelchen Ökoblödsinn!",0.0,0,0,0
"Mache ich auch, zu Hochzeitsfeiern nehme ich Grundsätzlich Springmesser, Munition plus zusätzlicher Waffen, Schlagringe etc mit. Auch komme ich mit einem tiefergelegtem lauten Auto vorbei, warum denn nicht, ist doch heute anerkannt, 600 Gäste die sich angepasst haben.",1.0,0,0,0
"Kirsten Heisig beschrieb in ihrem Buch "" Das Ende der Geduld"" eindrucksvoll über das Auftreten von Clans in Deutschland. Die Veröffentlichung ihres Buches erlebte sie nicht mehr, denn kurz zuvor fand man sie erhängt an einem Baum. Das nur dazu um zu verstehen, was so alles passieren kann. Wünsche dem Staatsanwalt viel Durchsetzungsvermögen.  ",0.0,0,0,0
"wie bitte ? hiobs ?  selbstgemachter hohler undurchdachter rumstippel - behafteter eigens provozierter niedergang durch rathausbesatzung ist das - ohne hiobs . fressen sie nicht so viel ekelhafte kottenbutter und himmel und ääd , derartiger frass schadet ihrem denken / dem gehirn . es ist hellen menschen schon seit jahren im voraus absehbar . und es wird noch weiteres gehen .......",1.0,0,0,0
und die Erde ist eine Scheibe.,0.0,0,0,0
Der Mann wird total überschätzt und hofiert. Alles immer nur da selbe Bla-Bla-Bla der Grünen Spinner.,1.0,0,0,0
"Man verliert den Glauben immer mehr. An Justiz und Gerechtigkeit. Kein Wunder das alle nach Deutschland wollen. Im Knast geht es dir bald besser, als arme Leute in Freiheit.",0.0,0,0,0
"Mir schmeckt das Bier von dieser Schwulette ohnehin nicht, trotzdem soll er gern weiter sexistische Werbung machen. ",1.0,0,0,0
"ZITAT FF: Für Samstag fordert Funkel von seinen Schützlingen „laufen, laufen, laufen“.   Jau richtig, am Besten immer hinterher.   ...und wer auf den lieben FF vertraut,  wie er auf seine Spieler,  der hat wohl wieder auf Sand gebaut, wie heißt wohl der Verlierer ?  Na, gegen den BVB wird's  ein Unentschieden geben, was dann ins Bild passt... ",0.0,0,0,0
"Na dann kann England sich ja auf eine tolles Handelsabkommen freuen... ...das so vertrrauenswürdig ist wie eine Ehe mit Ming the Merciless. Das Abkommen lebt solange, bis es für England gegenüber den USA vorteilhaft wäre, oder der größere der beiden Horroclowns harten Morgenstuhl hat und es noch von der Toilette aus per Twitter aufkündigt. ",1.0,0,0,0
wer sich mit beiden händen an seinen stuhl klammert hat keine hand zum arbeiten frei.,0.0,0,0,0
"Ein typischer RP Artikel der neuen Generation...  Jeder Scheiss muss gedruckt werden, um Himmels Willen kein gutes Produkt unverändert. Obwohl, zum Scherz mit Senf passen Braten und Fleischwurst... ",1.0,0,0,0
"""Bundesministerin"" adé.  Paßt.",0.0,0,0,0
"Einen Grund mehr für mich,diese Freaks niemals zu wählen!!! Dann habe ich zumindest,was diesen Verein betrifft,bisher ja alles richtig gemacht.  DAS IST MEINE MEINUNG ZU DIESEM THEMA.,PUNKT!!!",1.0,0,0,0
