text,label,five_folds,ten_folds,train_test_split
"""Ich möchte wissen, wer hinter solchen Kommentaren steckt""  ... damit ich dafuer sorgen kann, dass er seinen Job, seine Familie,  seine Freunde und alles was er hat verliert...",1.0,0,0,0
"„Später spricht dann Wilhelm Wieben, er ist sich immer treu geblieben.“  Dieser Satz ist sehr zutreffend. Herr Wieben war ein in seinem Job ein Vollprofi und ein Mann mit Format und Stil, den es in der aktuellen Fernsehlandschaft fast gar nicht mehr gibt. Ingel Meysel freut sich bestimmt auf diesen niveauvollen Gesprächspartner. Möge er in Frieden ruhen.",0.0,0,0,0
"Es geht heute nur um Sie, Sie ganz allein, Ihre Ungeduld und Rüpelhaftigkeit hat sich für Sie ausgezahlt, nun kümmer ich mich ganz persönlich nur um Sie, ach gestatten, meine Name ist Tot, Schneller Tot und ich komme nun zu Ihnen!",1.0,0,0,0
Super aber das ganze gilt nicht für den 1800 PS Mann  und Dieselfahrer Eigentlich sollte der Zwerg ein Vorbild sein,0.0,0,0,0
"Steuern sind Raub - Räuber gehören weggesperrt! Ich finde, man sollte alle Steuereintreiber behandeln wie Vergewaltiger oder Kinderficker - sie nehmen sich einfach etwas, ohne zu fragen.",1.0,0,0,0
Toleranz hat Reus  sicherlich auch erwartet  bei dem Urteil für sein  unerlaubtes Fahren ohne Führerschein ....  ,0.0,0,0,0
Sonntag ab in die Arena und dort die erste Gelegenheit nutzen um  zu zeigen was die Fans von diesem Stil der Pfanne halten.,1.0,0,0,0
"alles in allem war guter fussball. Kompliment an die jungen spieler. selbstbewusst, spielsicher, alles was ein guter  fussballer braucht. wir brauchen keinen wendt, Johnson, lang und vielleicht traore. hoffentlich gibt Hecking den jungs auch eine Chance in der Rückrunde. das alles war sehenswert.",0.0,0,0,0
"wow jetzt schon wo der ""Krieg"" schon längst verloren wurde???? das ist wie wenn die Feuerwehr erst dann ausrückt wenn das Haus bis auf die Grundmauern abgebrannt ist! Die Dummheit und lahmarschigkeit der Regierungsbehörden und Sicherheitsunternehmen ist ein Witz...und soll man sich jetzt freuen? wie oft verarscht man uns eigentlich noch? Da hilft nur Bürgerkrieg um die bestehenden Grundfesten niederzureissen. ",1.0,0,0,0
Das Wegwerfen von Müll aus Autofenstern ist in diesem Land leider nur ein Kaveliersdelikt. Die Autobahnausfahrten sehen deshalb teilweise aus wie die firmeneigene Mülldeponies von Schnellrestaurants.  ,0.0,0,0,0
Mögen Bolsonaro und alle UmweltzerstörerInnen im ewigen Fegefeuer landen. Die Zerstörung unserer Erde schreitet immer schneller voran - man könnte nur noch weinen. ,1.0,0,0,0
"Na, da läuft doch bestimmt ein Versorgungsschiff nebenher, denn wo sollen auf einer Rennyacht, die schon mit 4 Personen besetzt ist, noch Lebensmittel und Trinkwasser für 14 Tage verstaut werden?!?",0.0,0,0,0
"Was funktioniert eigentlich noch in dieser Republik? Es wird Zeit für einen ""Eisernen Besen"" der wirklich einmal gründlich durchfegt. ",1.0,0,0,0
Die Einkaufspaläste am Stadtrand werden sich freuen.,0.0,0,0,0
Maas ein no Body. Bestenfall überfahren bei der nächsten Reise.  H.W. E.,1.0,0,0,0
"Deutsche Wirtschaft muss sich auf härtere Zeiten einstellen?  Aber die Arbeiter werden das ausbaden müssen. Wenn es den ""Reichen"" nicht mehr gut geht sind die armen schon lange verhungert.  ",0.0,0,0,0
"Im Herbst 2020 die geplante Rodung mit einer Woche Vorlauf ankündigen. Wer dann noch in den Bäumen sitzt, kann ruhig mit abgeholzt werden.  Wer Gesetze nicht respektiert und achtet, Anweisungen der Polizei nicht befolgt, passt nicht in unsere Gesellschaft. Da müssen die ""Aktivisten"" durch. ",1.0,0,0,0
"Vielleicht nimmt Frau AKK sich ja ein Beispiel an Kollegin ""Ich-mache-mir-die-Welt-wie-sie-mir-gefällt""-Nahles und tritt aus eigenen Stücken auf Druck aus der Partei zurück...",0.0,0,0,0
"Aktivisten??? Verbrecher, Terroristen!! - Die f4f-Kinder sollen nur aufpassen, dass sie nicht unter die Räder kommen.",1.0,0,0,0
"Wundert das jemanden ? Alte Bräuche, alte Sitten, alte realitätsfremde Männer...",0.0,0,0,0
"Wenn Trump da gewesen wäre, hätte der den erschossen bevor auch nur ein Schuss abgeben worden wäre.",1.0,0,0,0
"Moin, ich selbst habe auch schon brenzlige Situationen in dem Kreisverkehr erlebt, mit PKW und Fahrrad, wichtig ist die gegenseitige Rücksichtnahme dann klappt es auch mit dem unfallfreien ;-) Verkehr.Autofahrer müssen nicht mit Tempo 50 da durch fliegen. ",0.0,0,0,0
""" Kriminelle Mitglieder arabischstämmiger Großfamilien "" Merkel sie sind ein Versager, es kommt auch mal die Zeit wo sie auch Angst haben werden",1.0,0,0,0
Ratingen und vor allem das benachbarte Umland leiden nicht gerade unter Obdachlosigkeit und Wohnberechtigungsscheine  werden von Politikern wie weisse Salbe verteilt. Pendler hat man wenn man versucht den Wohnbedarfsueberschwappeffekt aus Düsseldorf zu bedienen und Projekte wie Schwarzbachquartier foerdert. Ratingen hat zudem selbst ziemlich viele Auspendler die billig in Ratingen wohnen und weiterhin woanders arbeiten wollen...,0.0,0,0,0
Den Vater sollte man verprügeln.Warum steckt er eine Achtjährige in die Geisterbahn und dann noch in so eine Spezielle. Der Mann scheint hirnlos zu sein.,1.0,0,0,0
"Na ja wenn Erdogan, den die BILD als Diktator bezeichnet, die Anschläge für seinen Wahlkampf instrumentalisiert könnte man vermuten das die Täter von ihm beauftragt und bezahlt worden sind. Diese Strategie ist alt und nicht unüblich auf eigene Leute schießen zu lassen und damit einen Freibrief der Moslems zu bekommen zurück zu schlagen und Rache zu nehmen.  Das sind zwar menschenverachtende Methoden aber passen zu solchen Politikern wie Präsident Erdogan. ",0.0,0,0,0
Den Kunden“ Jäger „ sollte man abschiessen und ausstopfen,1.0,0,0,0
"Ja, genau. Deutschland ist nur von Räächstpopulisten umzingelt. Fakt ist, dass Deutschland in Europa nahezu isoliert ist. Aber solange die Medien noch regierungsfreundlich berichten, läuft es ja.",0.0,0,0,0
"„An die Wand, an die Wand“, schallte es aus dem Auditorium zurück.  Hoffentlich kommt es so für die wahren Vaterlandsverräter Maduro & Co!",1.0,0,0,0
Wichtig ist auch die Berücksichtigung eines Radweges ERA 2010 konform,0.0,0,0,0
"Die Politiker versagen, die sollten alle für immer weggeschlossen werden",1.0,0,1,0
"Und was machen die Eltern? Geld verdienen ist nicht das wichtigste im Leben. Es gibt andere Werte, die leider heute vergessen werden. Selbstverständlich soll die Kasse alles Erforderliche für eine Behandlung zahlen. Es gibt aber such hier irgendwo Grenzen. ",0.0,0,1,0
"pass nur gut auf stolzer ami, eines Tages kommt doch ein Lee Harvey Oswald II. und macht dem ganzen schaurigen Geschehen ein Ende.",1.0,0,1,0
Salvini schützt mit seiner Entscheidung seine und die deutsche Bevölkerung. Danke!,0.0,0,1,0
"Ein Kannibale ist in der agierenden Pädophilenpartei recht gut aufgehoben. Im Anschluss ihrer inzestiösen und pädophilen Vergehen, können die Steineschmeißer ihre Beweise verschwinden lassen.  Viel Glück noch...... Und ich lad schonmal den Karabiner durch. ",1.0,0,1,0
"Millionen für externe Berater,   da fallen ein paar Peanuts,    mehr oder weniger, auch nicht groß auf !!!! - ",0.0,0,1,0
hat er gut gemacht.  Ich hätte unvernünftigerweise die Demonstranten angestachelt das Ding an zu zünden... ,1.0,0,1,0
"Typischer Ruhrgebietsklüngel: Schalke bewahrt Dortmund davor, zum Gespött der Bundesliga zu werden.  ",0.0,0,1,0
Der Abschaum dieses Planeten schreckt auch vor dem Missbrauch dieses Rechtsstaates nicht zurück. Kriminelle Clans müssen komplett entsorgt werden. ,1.0,0,1,0
