text,label,five_folds,ten_folds,train_test_split
Da musste wohl jemand ( wahrscheinlich eine Frau) mit einem Projekt und entsprechenden Finanzmitteln versorgt werden. ,1.0,0,0,0
"Warum soll man sich die Arbeit machen, wenn man doch einfach wieder irgendwelche Steuern erhöhen kann, um die Verluste abzufangen? Schliesslich ist die Abgabenquote in Deutschland so niedrig, da geht noch viel mehr.",0.0,0,0,0
"Mich würde die Reaktion interessieren, wenn Frauen zum Wickeln der Babys auf das Herrenklo müssten. ",1.0,0,0,0
"Man sollte sich auch die Frage stellen, ob der Datenschutzbeauftragte stefan  brink nach seinen Äußerungen noch haltbar ist. Ein Politiker sollte immer so handeln, dass es nicht illegal ist.",0.0,0,0,0
"Bitte nicht. Die blöde, mädchenverachtende Schnepfe soll, wenn schon, in Köln heiraten. Oder Ed Sheeran auf dem Messeparkplatz. Aber bitte, RP, verschont mich mit solchen Neuigkeiten!",1.0,0,0,0
"Offensichtlich war letzten Endes vielen, ansonsten stets der Herde folgenden, CDU-Mitgliedern die immer wieder unverholen verlautbarte Unterstützung der CDU-Wirtschaftsflügel für Merz (mit e) suspekt. Wer so offensiv einen Kandidaten (aus den eigenen, neoliberalen Reihen) unterstützt, tut dies sicherlich nicht zuletzt in der Hoffnung, dass evtl. zu einem späteren Zeitpunkt vorgetragene Wünsche - meist nicht im Interesse des Arbeitnehmer-Flügels - wohlwollend geprüft werden. ",0.0,0,0,0
"M8-nx......Worte, die Lehrerinnen und andere Frauen seit Jahren zu hören bekommen. Ich finde diese Bezeichnungen für JEDE Frau nur inakzeptabel. Allerdings finde ich eine Äußerung wie ""Sex mit Kindern ist ok, wenn keine Gewalt im Spiel ist"" auch unglaublich und widerwärtig.   ",1.0,0,0,0
"ich kann ihn da komplett verstehen. An seiner Stelle würde ich eine Pause bei der Nationalmannschaft einlegen, bis ein neuer Trainer am Start ist und die Situation neu bewertet. Unter Löw wird er nicht die Nr. 1 werden und ständig nur zur Nationalmanschaft zu reisen, um dann nicht zu spielen, während man bei seiner eigenen Mannschaft permanent Top Leistung abliefert, wer würde da nicht frustriert sein? Also Junge, mache Nägel mit Köpfen und es wird Dir damit besser gehen.",0.0,0,0,0
"Das wird aber eine interessante Veranstaltung..)) Dietrich (ja, ich kenne ihn) ist das absolute Alphatierchen. Zwei ""Königstiger"" in einem VfB-Käfig geht nicht!",1.0,0,0,0
"Ich geh einfach als Mann (bin ich glaube ich sowieso, meine Eltern haben mir einfach einen Jungennamen gegeben damals, echt jetz mal) , ist allerdings nicht genderneutral, schlimm, sehr schlimm.",0.0,0,0,0
"Was bringt uns eine Frauenquote? Noch mehr Frauen vom Stile Göring- Eckehardt, Merkel, C. Roth oder gar Nahles? Hat man nicht schon genug Elend in das Bundesparlament gebracht? Ich zitire die ""Kontra-Fraktion"" im Artikel: ""Drittens: Frauenquoten sorgen nicht für bessere Politik, dafür sorgen Politiker, die ihren Verfassungsauftrag ernst nehmen – „Vertreter des ganzen Volkes“ zu sein"". Dies ist momentan im deutschen Bundestag nicht zu beobachten.",1.0,0,0,0
"Dat wäre mit einem Schwarz-Weiß-Röhren-Gerät wohl nicht passiert! Aber die Vernetzung von Unterhaltungs- und Haushaltsgeräten wird uns in der Werbung ja als modern und ""vorteilhaft"" verkauft. Ehrlich gesagt, kein Mensch braucht ein vernetztes Haus! Wie das Wort schon sagt: im Netz ist man gefangen... ",0.0,0,0,0
